"","Identifiant","Num_Commande","Montant","DateCreation","Date_Mis_À_Jour","Identifiant_Utilisateur","Paiment","Id_Adresse","typeCommande","Identifiant-2","Date_Creation-2","Prenom","Nom","Identifiant-3","id_Produit","id_StatutProduit","idOrder","Quantite","Date_Creation-3","Montant_Article_Commandé","Bank_Charge","Mode_Transport","Pays","MethodeTransport","Largeur","Longueur","Profondeur","Identifiant-4","Nom1","Identifiant-5","Nom_Produit","Prix_Produit","Devise","Description","Couleur","Taille","Date_Creation-4","idcat2","FraisExpe","DaviseFraisE","colorsNull","Mode_Transport-2","Ville","oder_id2","Annee","Mois","Semaine","Jour","Jour_de_la_semaine","Jours"
"11",767,"SMA12405",42416,2023-04-12,2023-04-12,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",859,5490,16,767,1,2023-04-12,39.9,3.99,"groupage","france","avion",21.84,32.51,12.19,1,"OUVERT",5490,"PUMA Smash V2 L, Baskets Basses Mixte",39.9,"EUR","PUMA Smash V2 L, Baskets Basses Mixte","Puma White Puma White","42 EU",2023-04-12,"NULL",7.98,"EUR","[]","avion","dakar",767,"2023",4,"mercredi","12","mercredi",12
"12",766,"SMA12404",198840.67375,2023-04-12,2023-04-12,19,"Espece",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",858,5489,13,766,1,2023-04-12,39.9,3.99,"groupage","france","avion",21.84,32.51,12.19,1,"OUVERT",5489,"PUMA Smash V2 L, Baskets Basses Mixte",39.9,"EUR","PUMA Smash V2 L, Baskets Basses Mixte","Puma White Puma White","42 EU",2023-04-12,"NULL",7.98,"EUR","[]","avion","dakar",766,"2023",4,"mercredi","12","mercredi",12
"13",765,"SMA12403",33840,2023-04-12,2023-04-12,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",857,5488,30,765,1,2023-04-12,35.99,3.599,"groupage","france","avion",10,50,10,1,"OUVERT",5488,"FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables",35.99,"EUR","FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables","Y Noir et Jaune","43 EU",2023-04-12,"NULL",12,"EUR","[]","avion","dakar",765,"2023",4,"mercredi","12","mercredi",12
"14",764,"SMA12402",33840,2023-04-12,2023-04-12,19,"CARTE BANCAIRE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",856,5487,32,764,1,2023-04-12,35.99,3.599,"groupage","france","avion",10,50,10,1,"OUVERT",5487,"FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables",35.99,"EUR","FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables","Y Noir et Jaune","43 EU",2023-04-12,"NULL",12,"EUR","[]","avion","dakar",764,"2023",4,"mercredi","12","mercredi",12
"15",763,"SMA12401",33840,2023-04-12,2023-04-12,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",855,5486,31,763,1,2023-04-12,35.99,3.599,"groupage","france","avion",10,50,10,1,"OUVERT",5486,"FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables",35.99,"EUR","FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables","Y Noir et Jaune","43 EU",2023-04-12,"NULL",12,"EUR","[]","avion","dakar",763,"2023",4,"mercredi","12","mercredi",12
"16",762,"SMA12400",33840,2023-04-12,2023-04-12,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",854,5485,30,762,1,2023-04-12,35.99,3.599,"groupage","france","avion",10,50,10,1,"OUVERT",5485,"FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables",35.99,"EUR","FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables","Y Noir et Jaune","43 EU",2023-04-12,"NULL",12,"EUR","[]","avion","dakar",762,"2023",4,"mercredi","12","mercredi",12
"17",761,"SMA12399",198840.67375,2023-04-12,2023-04-12,19,"Espece",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",853,5484,13,761,1,2023-04-12,35.99,3.599,"groupage","france","avion",10,50,10,1,"OUVERT",5484,"FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables",35.99,"EUR","FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables","Y Noir et Jaune","43 EU",2023-04-12,"NULL",12,"EUR","[]","avion","dakar",761,"2023",4,"mercredi","12","mercredi",12
"18",760,"SMA12398",33840,2023-04-12,2023-04-12,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",760,"2023",4,"mercredi","12","mercredi",12
"19",759,"SMA12397",198840.67375,2023-04-12,2023-04-12,19,"Espece",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",852,5483,13,759,1,2023-04-12,35.99,3.599,"groupage","france","avion",10,50,10,1,"OUVERT",5483,"FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables",35.99,"EUR","FUJEAK Hommes Chaussures De Course Hommes Casual Chaussures De Marche Respirantes Sport Baskets Athlétiques Gym Tennis Slip on Chaussures Légères Confortables","Y Noir et Jaune","43 EU",2023-04-12,"NULL",12,"EUR","[]","avion","dakar",759,"2023",4,"mercredi","12","mercredi",12
"20",758,"SMA12396",41800,2023-04-07,2023-04-07,71,"ESPECE",1,"COMMANDE SMA FROM AMAZON",71,2023-02-28,"dame","ndiaye",851,5482,27,758,1,2023-04-07,37.99,3.799,"groupage","france","avion",23,33,12,1,"OUVERT",5482,"adidas Vs Pace Db0143, Sneakers Basses Homme",37.99,"EUR","adidas Vs Pace Db0143, Sneakers Basses Homme","Grey Core Black Footwear White","45 1/3 EU",2023-04-07,"NULL",12,"EUR","[]","avion","dakar plateau",758,"2023",4,"vendredi","07","vendredi",7
"21",757,"SMA12395",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",850,5481,13,757,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5481,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar plateau",757,"2023",4,"vendredi","07","vendredi",7
"22",756,"SMA12394",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",849,5480,13,756,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5480,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar plateau",756,"2023",4,"vendredi","07","vendredi",7
"23",755,"SMA12393",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",848,5479,13,755,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5479,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar plateau",755,"2023",4,"vendredi","07","vendredi",7
"24",754,"SMA12392",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",754,"2023",4,"vendredi","07","vendredi",7
"25",753,"SMA12391",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",753,"2023",4,"vendredi","07","vendredi",7
"26",752,"SMA12390",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",752,"2023",4,"vendredi","07","vendredi",7
"27",751,"SMA12389",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",751,"2023",4,"vendredi","07","vendredi",7
"28",750,"SMA12388",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",750,"2023",4,"vendredi","07","vendredi",7
"29",749,"SMA12387",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",749,"2023",4,"vendredi","07","vendredi",7
"30",748,"SMA12386",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",748,"2023",4,"vendredi","07","vendredi",7
"31",747,"SMA12385",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",747,"2023",4,"vendredi","07","vendredi",7
"32",746,"SMA12384",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",847,5478,13,746,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5478,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar plateau",746,"2023",4,"vendredi","07","vendredi",7
"33",745,"SMA12383",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",846,5477,13,745,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5477,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar plateau",745,"2023",4,"vendredi","07","vendredi",7
"34",744,"SMA12382",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",744,"2023",4,"vendredi","07","vendredi",7
"35",743,"SMA12381",51318,2023-04-07,2023-04-07,19,"CARTE BANCAIRE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar plateau",743,"2023",4,"vendredi","07","vendredi",7
"36",742,"SMA12380",198840.67375,2023-04-07,2023-04-07,19,"Espece",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",845,5476,13,742,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5476,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar plateau",742,"2023",4,"vendredi","07","vendredi",7
"37",741,"SMA12379",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",741,"2023",4,"vendredi","07","vendredi",7
"38",740,"SMA12378",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",740,"2023",4,"vendredi","07","vendredi",7
"39",739,"SMA12377",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",739,"2023",4,"vendredi","07","vendredi",7
"40",738,"SMA12376",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",738,"2023",4,"vendredi","07","vendredi",7
"41",737,"SMA12375",51318,2023-04-07,2023-04-07,19,"ORANGE MONEY",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",737,"2023",4,"vendredi","07","vendredi",7
"42",736,"SMA12374",51318,2023-04-07,2023-04-07,19,"WAVE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",198840.67375,198840.67375,198840.67375,628.807106598985,1.01522842639594,2022-10-13,162.039746192893,11.820523857868,"NULL","NULL","NULL",17.7382527918782,37.9993126903553,14.0623482233503,1,"OUVERT",5372.58883248731,"NULL",161.659035532995,"NULL","NULL","NULL","NULL",2022-10-13,"NULL",42.4389453557935,"NULL","NULL","NULL","dakar",736,"2023",4,"vendredi","07","vendredi",7
"43",735,"SMA12373",198840.67375,2023-04-07,2023-04-07,19,"Espece",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",844,5475,13,735,1,2023-04-07,60.18,6.018,"groupage","france","avion",10,50,10,1,"OUVERT",5475,"ASICS Gel-Rocket 10, Chaussure de Volleyball Homme",60.18,"EUR","ASICS Gel-Rocket 10, Chaussure de Volleyball Homme","White","45 EU",2023-04-07,"NULL",12.036,"EUR","[]","avion","dakar",735,"2023",4,"vendredi","07","vendredi",7
"44",734,"SMA12372",45600,2023-04-07,2023-04-07,19,"ESPECE",1,"COMMANDE SMA FROM AMAZON",19,2019-12-18,"Cheikh Ahmed Tidiane test","diao",843,5474,13,734,1,2023-04-07,52.25,5.225,"groupage","france","avion",10,50,10,1,"OUVERT",5474,"Tommy Hilfiger Sweat Homme Hoody LS Hwk avec Capuche",52.25,"EUR","Tommy Hilfiger Sweat Homme Hoody LS Hwk avec Capuche","Grey Heather","S",2023-04-07,"NULL",12,"EUR","[]","avion","dakar plateau",734,"2023",4,"vendredi","07","vendredi",7
